species combination	targets
human, yeast, rat, fly, mouse	2
human, yeast, rat, mouse, worm	0
human, yeast, rat, mouse, fly	2
worm, human, fly, mouse, rat	3
worm, human, fly, mouse, yeast	1
worm, human, fly, rat, mouse	3
worm, human, fly, rat, yeast	0
worm, human, fly, yeast, mouse	1
worm, human, fly, yeast, rat	0
worm, human, mouse, fly, rat	3
worm, human, mouse, fly, yeast	1
worm, human, mouse, rat, fly	3
worm, human, mouse, rat, yeast	0
worm, human, mouse, yeast, fly	1
worm, human, mouse, yeast, rat	0
worm, human, rat, fly, mouse	3
worm, human, rat, fly, yeast	0
worm, human, rat, mouse, fly	3
worm, human, rat, mouse, yeast	0
worm, human, rat, yeast, fly	0
worm, human, rat, yeast, mouse	0
worm, human, yeast, fly, mouse	1
worm, human, yeast, fly, rat	0
worm, human, yeast, mouse, fly	1
worm, human, yeast, mouse, rat	0
worm, human, yeast, rat, fly	0
worm, human, yeast, rat, mouse	0
worm, fly, human, mouse, rat	3
worm, fly, human, mouse, yeast	1
worm, fly, human, rat, mouse	3
worm, fly, human, rat, yeast	0
worm, fly, human, yeast, mouse	1
worm, fly, human, yeast, rat	0
worm, fly, mouse, human, rat	3
worm, fly, mouse, human, yeast	1
worm, fly, mouse, rat, human	3
worm, fly, mouse, rat, yeast	0
worm, fly, mouse, yeast, human	1
worm, fly, mouse, yeast, rat	0
worm, fly, rat, human, mouse	3
worm, fly, rat, human, yeast	0
worm, fly, rat, mouse, human	3
worm, fly, rat, mouse, yeast	0
worm, fly, rat, yeast, human	0
worm, fly, rat, yeast, mouse	0
worm, fly, yeast, human, mouse	1
worm, fly, yeast, human, rat	0
worm, fly, yeast, mouse, human	1
worm, fly, yeast, mouse, rat	0
worm, fly, yeast, rat, human	0
worm, fly, yeast, rat, mouse	0
worm, mouse, human, fly, rat	3
worm, mouse, human, fly, yeast	1
worm, mouse, human, rat, fly	3
worm, mouse, human, rat, yeast	0
worm, mouse, human, yeast, fly	1
worm, mouse, human, yeast, rat	0
worm, mouse, fly, human, rat	3
worm, mouse, fly, human, yeast	1
worm, mouse, fly, rat, human	3
worm, mouse, fly, rat, yeast	0
worm, mouse, fly, yeast, human	1
worm, mouse, fly, yeast, rat	0
worm, mouse, rat, human, fly	3
worm, mouse, rat, human, yeast	0
worm, mouse, rat, fly, human	3
worm, mouse, rat, fly, yeast	0
worm, mouse, rat, yeast, human	0
worm, mouse, rat, yeast, fly	0
worm, mouse, yeast, human, fly	1
worm, mouse, yeast, human, rat	0
worm, mouse, yeast, fly, human	1
worm, mouse, yeast, fly, rat	0
worm, mouse, yeast, rat, human	0
worm, mouse, yeast, rat, fly	0
worm, rat, human, fly, mouse	3
worm, rat, human, fly, yeast	0
worm, rat, human, mouse, fly	3
worm, rat, human, mouse, yeast	0
worm, rat, human, yeast, fly	0
worm, rat, human, yeast, mouse	0
worm, rat, fly, human, mouse	3
worm, rat, fly, human, yeast	0
worm, rat, fly, mouse, human	3
worm, rat, fly, mouse, yeast	0
worm, rat, fly, yeast, human	0
worm, rat, fly, yeast, mouse	0
worm, rat, mouse, human, fly	3
worm, rat, mouse, human, yeast	0
worm, rat, mouse, fly, human	3
worm, rat, mouse, fly, yeast	0
worm, rat, mouse, yeast, human	0
worm, rat, mouse, yeast, fly	0
worm, rat, yeast, human, fly	0
worm, rat, yeast, human, mouse	0
worm, rat, yeast, fly, human	0
worm, rat, yeast, fly, mouse	0
worm, rat, yeast, mouse, human	0
worm, rat, yeast, mouse, fly	0
worm, yeast, human, fly, mouse	1
worm, yeast, human, fly, rat	0
worm, yeast, human, mouse, fly	1
worm, yeast, human, mouse, rat	0
worm, yeast, human, rat, fly	0
worm, yeast, human, rat, mouse	0
worm, yeast, fly, human, mouse	1
worm, yeast, fly, human, rat	0
worm, yeast, fly, mouse, human	1
worm, yeast, fly, mouse, rat	0
worm, yeast, fly, rat, human	0
worm, yeast, fly, rat, mouse	0
worm, yeast, mouse, human, fly	1
worm, yeast, mouse, human, rat	0
worm, yeast, mouse, fly, human	1
worm, yeast, mouse, fly, rat	0
worm, yeast, mouse, rat, human	0
