 	Cox8b
 	Tnrc6c
 	Clec3b
 	Nudt5
 	Iscu
 	Higd2a
 	Creb1
 	Eef1b2
 	Ppil3
 	Nif3l1
 	Eif5b
 	Stat1
 	Mff
 	Fam135a
 	Bcs1l
 	Ankzf1
 	Htr2b
 	Mcm6
 	Rbbp5
 	Ahctf1
 	Parp1
 	Dcaf8
 	Vamp4
 	Golga1
 	Usp20
 	Hspa5
 	Gapvd1
 	Mrrf
 	Rbm18
 	Strbp
 	Sec16a
 	Inpp5e
 	Ssna1
 	Zc3h15
 	Mapk8ip1
 	Wdr76
 	Atg13
 	Tubgcp4
 	Snap23
 	Vps39
 	Ubox5
 	Ndufaf1
 	Usp8
 	Zc3h8
 	Xrn2
 	Kif3b
 	Cdk5rap1
 	Srms
 	Zgpat
 	Nfs1
 	Rbm39
 	Rpn2
 	Gnb4
 	Ndufb5
 	Dcun1d1
 	Exosc8
 	Ppid
 	Nras
 	Gdap2
 	Notch2
 	Ints3
 	Hax1
 	Sass6
 	Rnpc3
 	Scamp3
 	Rit1
 	Nudt17
 	Pex11b
 	Ecm1
 	Ctsk
 	Gclm
 	Bag1
 	Chmp5
 	Nfx1
 	Ubap2
 	Rgp1
 	Usp24
 	Dock7
 	Orc1
 	Cap1
 	Lypla2
 	Mutyh
 	Ccdc163
 	Fabp3
 	Eif3i
 	Cdca8
 	Mtf1
 	Psmc2
 	Tas1r1
 	Vamp3
 	Per3
 	Angptl7
 	Dnajc2
 	Pmpcb
 	Miip
 	Cdk11b
 	Gnb1
 	Ccnl2
 	Add1
 	Zbtb49
 	Eif2b4
 	Snx17
 	Krtcap3
 	Lias
 	Pds5a
 	Ppat
 	Polr2b
 	Gtf2h3
 	Eif2b1
 	Zcchc8
 	Psph
 	Tmem116
 	Gpn3
 	Dhx37
 	Golga3
 	Ep400
 	Pus1
 	Sppl3
 	Ankrd61
 	Cpsf4
 	Cdk8
 	Pan3
 	Asb15
 	Rbm28
 	Cbx3
 	Clcn1
 	Dusp11
 	Isy1
 	Foxp1
 	Tmem43
 	Clec4e
 	Ddx47
 	Ogg1
 	Ccdc91
 	Mrpl51
 	Fkbp4
 	Asb7
 	Mtmr10
 	Plin1
 	Zfp626
 	Mrps11
 	Ndufc2
 	Ino80e
 	Ppme1
 	Eif3c
 	Lcmt1
 	Rbbp6
 	Nomo1
 	Ubfd1
 	Arhgef7
 	Tnks
 	Gins4
 	Star
 	Vps37a
 	Cnot7
 	Heatr3
 	Smarca5
 	Txnl4b
 	Il34
 	Cog4
 	Fam192a
 	Ciapin1
 	Polr2c
 	Zdhhc7
 	Mbtps1
 	Tsnaxip1
 	Nip7
 	Tmed6
 	Ankrd49
 	Med17
 	4931406C07Rik
 	Taf1d
 	Kars
 	Aars
 	Acad8
 	Acta1
 	Arv1
 	Vps26b
 	Abhd12
 	Bud13
 	Tagln
 	Trappc4
 	Chek1
 	Hyou1
 	Sltm
 	Ccnb2
 	Man2c1
 	Psma4
 	Ooep
 	Rpl4
 	Zwilch
 	Rwdd2a
 	Snx14
 	Stt3b
 	Prss44
 	Cep63
 	Topbp1
 	Nicn1
 	Srek1
 	Malt1
 	Gtf3c1
 	Pwp2
 	Nfyc
 	Slc7a6os
 	Atg9a
 	Ybey
 	Dis3
 	Arid2
 	Szt2
 	Slc35a4
 	Wdr3
 	Noc4l
 	Dnm2
 	Clasp2
 	Spg11
 	Mcee
 	Specc1l
 	Zbtb1
 	Catsper2
 	Larp4b
 	Sf3b3
 	Rpap2
 	Tubgcp5
 	Tmem87a
 	Gpbp1l1
 	Farp2
 	Hdlbp
 	Sik3
 	Chmp7
 	Mrps17
 	Setd5
 	Nek9
 	Exosc1
 	Zbed4
 	Gtf2h5
 	Ramp1
 	Wdr5b
 	Dhrs11
 	Ccpg1
 	Gns
 	Gna15
 	Tmem127
 	Rps29
 	Dhx8
 	Synrg
 	Tmem106a
 	Rundc1
 	Dhx57
 	Heatr5a
 	Oaz1
 	Helq
 	Rmi1
 	Pcsk7
 	Rabgap1
 	Thyn1
 	Tdrd7
 	Utp6
 	Prpf39
 	Gtf3c4
 	Zdhhc17
 	Mlc1
 	Edc4
 	Snapc4
 	Gramd1c
 	Zdhhc23
 	Tbc1d24
 	Sbf1
 	Alg5
 	Tbc1d9b
 	Cc2d1a
 	Nop14
 	Anln
 	Dna2
 	Anapc10
 	Zscan21
 	Wdr62
 	Mmaa
 	Elf2
 	4932438A13Rik
 	Ttc13
 	Srrt
 	Trmt6
 	Adam32
 	Azin1
 	Ubr5
 	Zdhhc18
 	Wdtc1
 	Zfp60
 	Slc20a2
 	Actr5
 	Fam76b
 	Iars
 	Ccdc138
 	Atp6v0a2
 	Csf3
 	Pde4dip
 	Rilp
 	Nop2
 	Bphl
 	Smg6
 	Snx25
 	Wdr36
 	Tsr1
 	Sgsm2
 	Upf3a
 	Nfe2l1
 	Ensa
 	Bud31
 	Tmem214
 	Pi4kb
