HeLa (cervix adenocarcinoma); erythroleukemia cells	 
 	HK2
 	TRIB3
 	UPP1


BPLER cells (breast epithelium); HME1 cells (breast epithelium); K562 cells (erythroleukemia cells); MCF7 cells (breast epithelium)	 
 	C1orf182
 	COPS7A
 	PLEKHG1
 	C19orf57
 	CUL4A
 	CCT3
 	BANF1
 	EIF1AD
 	CDK3
 	RBM23


BPE cells (breast epithelium); BPLER cells (breast epithelium); K562 cells (erythroleukemia cells)	 
 	SLC9A11
 	GNAO1
 	NTSR1
 	LAMA5
 	IL6R
 	ZDHHC20
 	ATL3
 	CARD11
 	HSPB9


BPE cells (breast epithelium); BPLER cells (breast epithelium); HME1 cells (breast epithelium); HeLa (cervix adenocarcinoma); MCF7 cells (breast epithelium)	 
 	SFRS10
 	DGKE
 	RXRA
 	HYPK
 	APBB2


BPLER cells (breast epithelium); HeLa (cervix adenocarcinoma); MCF7 cells (breast epithelium)	 
 	C2orf18
 	IQCE
 	CENPA
 	MAP2K2
 	ZNF473
 	ZNHIT2
 	ZNF34
 	SLC22A18
 	EPHA2
 	PDGFA


BPLER cells (breast epithelium); HME1 cells (breast epithelium); MCF7 cells (breast epithelium)	 
 	C2orf7
 	LOC100134934
 	CDKL3
 	POLA2
 	CAV2
 	SMYD5
 	EVPL
 	NANOS3
 	PRMT5


BPE cells (breast epithelium); BPLER cells (breast epithelium)	 
 	LOC51252
 	RGNEF
 	TINP1
 	RAB39
 	KIAA0247
 	GCN5L2
 	C16orf62
 	LOC400506
 	KIAA1576
 	BRUNOL4
 	CYP24A1
 	CNGB1
 	TP63
 	RPS5
 	ZNF213
 	MUL1
 	SYNGR2
 	ZCCHC17
 	ZNF337
 	STAB2
 	MBOAT2
 	IFNGR2
 	SHKBP1
 	GFM2
 	TAGAP
 	C19orf33
 	YIF1B
 	FBXO45
 	EWSR1
 	WDR53
 	TEAD1
 	FANK1
 	PRICKLE4
 	SLC43A2
 	TPD52
 	SPAG1
 	CORO1C
 	SH3TC2
 	PPP2R2B


BPE cells (breast epithelium); BPLER cells (breast epithelium); HME1 cells (breast epithelium); HeLa (cervix adenocarcinoma)	 
 	NOP5/NOP58
 	PPP2R4
 	TMEM66
 	FLJ21865
 	ALDH3B1
 	NEDD4L
 	CNN2
 	MAP4K4
 	AP4E1
 	ACOT7
 	STK4
 	VAC14
 	COPA
 	FXYD2
 	APP
 	BCL10
 	NBL1
 	PRKCE
 	CTNNBIP1
 	PLA2G6
 	SPATA21
 	ATP6V1A


BPLER cells (breast epithelium); HME1 cells (breast epithelium); HeLa (cervix adenocarcinoma)	 
 	PRKCDBP
 	PRKD2
 	PIGL
 	RAI1
 	CHST3
 	WBP2
 	ITPR1
 	KIF26B
 	ATF3
 	IL1RAP


BPE cells (breast epithelium); BPLER cells (breast epithelium); HME1 cells (breast epithelium); HeLa (cervix adenocarcinoma); K562 cells (erythroleukemia cells); MCF7 cells (breast epithelium)	 
 	C14orf133
 	DNAJA1
 	NUDC
 	PTGES3
 	CCT4
 	SPR
 	MORF4L2
 	ZC3H12A
 	TM2D3
 	EFEMP1
 	MICAL2
 	SPTAN1
 	ATP2C1
 	PRKAG2


BPE cells (breast epithelium); BPLER cells (breast epithelium); HME1 cells (breast epithelium); K562 cells (erythroleukemia cells)	 
 	C19orf6
 	RANBP3
 	RPL18
 	RORA
 	JMJD6
 	OSBPL3
 	P4HA2
 	RFX2
 	UBFD1
 	EARS2
 	ELL
 	CDH23
 	SNX3
 	FOXP1
 	DARS
 	ARHGEF16
 	TRAF3
 	FBXO15
 	ITGB3BP
 	SLC25A37
 	KIAA1755
 	CMIP
 	TNIK
 	NECAP2
 	CPAMD8
 	TYW3
 	PMVK
 	FBLN2
 	BMS1
 	MAT2A
 	CHD3
 	GNG7
 	ACSF3
 	TMPRSS9
 	ZFAND2A
 	CDC42EP4
 	TMEM95
 	BCO2
 	MBP
 	EFCAB7
 	TCTN1
 	EEF1G
 	DTX2
 	CRYZ
 	CLU
 	LDLR
 	TRIO
 	PDXK


BPLER cells (breast epithelium); K562 cells (erythroleukemia cells)	 
 	HMHA1
 	MAD1L1
 	LASP1
 	NUTF2
 	CENPT
 	DENND3
 	SH3PXD2A
 	ATXN1
 	PRDX5
 	WDR38
 	TRIM41
 	TTBK1
 	EIF4A2
 	HIST1H4H
 	ADAMTS13
 	PTP4A2


BPLER cells (breast epithelium); HME1 cells (breast epithelium); K562 cells (erythroleukemia cells)	 
 	SEPW1
 	UBE2B
 	PEBP4
 	CPA2
